run_number,model_name,metric,class,value
3,Fine-tuned RuBERT,recall,positive,0.7483
3,Base mBERT,recall,positive,0.6448
3,Fine-tuned mBERT,recall,positive,0.6966
3,Base distil-mBERT,recall,macro avg,0.8262
3,Fine-tuned distil-mBERT,recall,macro avg,0.832
3,Base RuBERT,recall,macro avg,0.675
3,Fine-tuned RuBERT,recall,macro avg,0.8406
3,Base mBERT,recall,macro avg,0.7782
3,Fine-tuned mBERT,recall,macro avg,0.8316
3,Base distil-mBERT,recall,weighted avg,0.8288
3,Fine-tuned distil-mBERT,recall,weighted avg,0.8324
3,Base RuBERT,recall,weighted avg,0.7213
3,Fine-tuned RuBERT,recall,weighted avg,0.8342
3,Base mBERT,recall,weighted avg,0.7923
3,Fine-tuned mBERT,recall,weighted avg,0.8342
3,Base distil-mBERT,f1-score,negative,0.7542
3,Fine-tuned distil-mBERT,f1-score,negative,0.7536
3,Base RuBERT,f1-score,negative,0.5565
3,Fine-tuned RuBERT,f1-score,negative,0.7676
3,Base mBERT,f1-score,negative,0.6957
3,Fine-tuned mBERT,f1-score,negative,0.752
3,Base distil-mBERT,f1-score,neutral,0.8948
3,Fine-tuned distil-mBERT,f1-score,neutral,0.8969
3,Base RuBERT,f1-score,neutral,0.8667
3,Fine-tuned RuBERT,f1-score,neutral,0.8947
3,Base mBERT,f1-score,neutral,0.8879
3,Fine-tuned mBERT,f1-score,neutral,0.9027
3,Base distil-mBERT,f1-score,positive,0.7532
3,Fine-tuned distil-mBERT,f1-score,positive,0.765
3,Base RuBERT,f1-score,positive,0.5547
3,Fine-tuned RuBERT,f1-score,positive,0.7681
3,Base mBERT,f1-score,positive,0.6763
3,Fine-tuned mBERT,f1-score,positive,0.7594
3,Base distil-mBERT,f1-score,macro avg,0.8007
3,Fine-tuned distil-mBERT,f1-score,macro avg,0.8052
3,Base RuBERT,f1-score,macro avg,0.6593
3,Fine-tuned RuBERT,f1-score,macro avg,0.8102
3,Base mBERT,f1-score,macro avg,0.7533
3,Fine-tuned mBERT,f1-score,macro avg,0.8047
3,Base distil-mBERT,f1-score,weighted avg,0.8319
3,Fine-tuned distil-mBERT,f1-score,weighted avg,0.8361
3,Base RuBERT,f1-score,weighted avg,0.7281
3,Fine-tuned RuBERT,f1-score,weighted avg,0.8382
3,Base mBERT,f1-score,weighted avg,0.7972
3,Fine-tuned mBERT,f1-score,weighted avg,0.8376
3,Base distil-mBERT,accuracy,,0.8288
3,Fine-tuned distil-mBERT,accuracy,,0.8324
3,Base RuBERT,accuracy,,0.7213
3,Fine-tuned RuBERT,accuracy,,0.8342
3,Base mBERT,accuracy,,0.7923
3,Fine-tuned mBERT,accuracy,,0.8342
4,Base distil-mBERT,precision,negative,0.6531
4,Fine-tuned distil-mBERT,precision,negative,0.6586
4,Base RuBERT,precision,negative,0.5312
4,Fine-tuned RuBERT,precision,negative,0.652
4,Base mBERT,precision,negative,0.6
4,Fine-tuned mBERT,precision,negative,0.5965
4,Base distil-mBERT,precision,neutral,0.9321
4,Fine-tuned distil-mBERT,precision,neutral,0.9361
4,Base RuBERT,precision,neutral,0.897
4,Fine-tuned RuBERT,precision,neutral,0.9281
4,Base mBERT,precision,neutral,0.9366
4,Fine-tuned mBERT,precision,neutral,0.9297
4,Base distil-mBERT,precision,positive,0.7679
4,Fine-tuned distil-mBERT,precision,positive,0.7832
4,Base RuBERT,precision,positive,0.6287
4,Fine-tuned RuBERT,precision,positive,0.8
4,Base mBERT,precision,positive,0.749
4,Fine-tuned mBERT,precision,positive,0.7992
4,Base distil-mBERT,precision,macro avg,0.7844
4,Fine-tuned distil-mBERT,precision,macro avg,0.7926
4,Base RuBERT,precision,macro avg,0.6857
4,Fine-tuned RuBERT,precision,macro avg,0.7934
4,Base mBERT,precision,macro avg,0.7619
4,Fine-tuned mBERT,precision,macro avg,0.7751
4,Base distil-mBERT,precision,weighted avg,0.8382
4,Fine-tuned distil-mBERT,precision,weighted avg,0.8454
4,Base RuBERT,precision,weighted avg,0.7599
4,Fine-tuned RuBERT,precision,weighted avg,0.8442
4,Base mBERT,precision,weighted avg,0.8261
4,Fine-tuned mBERT,precision,weighted avg,0.8348
4,Base distil-mBERT,recall,negative,0.804
4,Fine-tuned distil-mBERT,recall,negative,0.8241
4,Base RuBERT,recall,negative,0.7688
4,Fine-tuned RuBERT,recall,negative,0.8945
4,Base mBERT,recall,negative,0.8291
4,Fine-tuned mBERT,recall,negative,0.8543
4,Base distil-mBERT,recall,neutral,0.8571
4,Fine-tuned distil-mBERT,recall,neutral,0.8654
4,Base RuBERT,recall,neutral,0.844
4,Fine-tuned RuBERT,recall,neutral,0.8686
4,Base mBERT,recall,neutral,0.8736
4,Fine-tuned mBERT,recall,neutral,0.8686
4,Base distil-mBERT,recall,positive,0.7759
